,index,filename,avg_violations,avg_time,avg_events,service_rate
0,13,branching_a_6_b_3.csv,9213.4,13.295381974752782,111687.8,8.249244769795805
1,8,branching_a_7_b_3.csv,9225.3,13.649091766972077,111675.1,8.260838808292984
2,6,branching_a_5_b_1.csv,9238.1,2.479111677396362,111663.9,8.273130349199697
3,23,branching_a_2_b_3.csv,9241.6,11.909003844296539,111660.1,8.27654641183377
4,24,branching_a_1_b_5.csv,9242.9,10.361206920191046,111657.7,8.277888582695148
5,11,branching_a_6_b_1.csv,9243.5,2.606386906855237,111658.6,8.278359212814776
6,27,branching_a_1_b_1.csv,9257.3,2.255273374348233,111643.8,8.29181736916873
7,14,branching_a_3_b_3.csv,9259.2,11.433427497699055,111643.5,8.29354149592229
8,26,branching_a_1_b_3.csv,9265.8,6.192398476727517,111637.6,8.29989179272933
9,18,branching_a_3_b_1.csv,9267.4,2.3180240297611756,111634.0,8.301592704731533
10,5,branching_a_5_b_3.csv,9283.4,12.569852794342198,111618.0,8.317117310828003
11,1,branching_a_4_b_1.csv,9289.1,2.3443015125221267,111611.8,8.322686310945617
12,9,branching_a_7_b_1.csv,9299.3,2.660957297574207,111599.2,8.332765826278324
13,20,branching_a_2_b_1.csv,9306.0,2.4029921094680136,111597.3,8.338911425276416
14,3,branching_a_4_b_3.csv,9309.4,11.618469393040499,111594.3,8.342182351607564
15,19,branching_a_3_b_5.csv,9317.8,19.7327898743419,111584.8,8.350420487378209
16,12,branching_a_7_b_5.csv,9378.8,22.73154410811954,111524.0,8.40966966751551
17,17,branching_a_2_b_5.csv,9381.4,19.61151136181207,111520.6,8.412257466333575
18,10,branching_a_6_b_5.csv,9384.7,22.553882393122706,111518.5,8.415375027461812
19,22,branching_a_3_b_6.csv,9395.1,133.15358790820878,111507.1,8.425562139092488
20,7,branching_a_4_b_5.csv,9427.1,20.31427345486654,111477.8,8.456481918372985
21,4,branching_a_4_b_6.csv,9438.2,235.4962517130442,111463.2,8.467548033790525
22,2,branching_a_5_b_5.csv,9439.0,21.40742570122772,111462.8,8.468296149029094
24,15,branching_a_2_b_6.csv,9463.0,75.31453875773221,111440.0,8.491564967695622
0,6,branching_a_7_b_4.csv,9246.2,18.41490449998588,,
1,1,branching_a_4_b_2.csv,9271.7,4.649538739382078,,
2,4,branching_a_7_b_2.csv,9280.3,5.24769393224649,,
3,7,branching_a_6_b_2.csv,9280.8,5.133559414851882,,
4,10,branching_a_3_b_4.csv,9281.35,15.407544487251622,,
5,3,branching_a_4_b_4.csv,9282.2,15.946506899251776,,
6,12,branching_a_1_b_4.csv,9289.7,8.665433609313652,,
7,8,branching_a_3_b_2.csv,9303.2,4.41465643913252,,
8,9,branching_a_2_b_4.csv,9306.7,15.693070042484162,,
9,2,branching_a_5_b_2.csv,9310.1,4.839882516825369,,
10,11,branching_a_2_b_2.csv,9310.5,4.192465576308061,,
11,5,branching_a_6_b_4.csv,9318.2,18.40209650428917,,
12,0,branching_a_5_b_4.csv,9333.1,17.203421991476915,,
13,13,branching_a_1_b_2.csv,9365.5,4.123392530454606,,

