Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,88644,52423,356,11699,16997,11699,16995,1016,27510,23727,23424,199,104,0,3783,2726,84,20.77,12675,807.63,6509,2910.55,0,0,355,1884,1884,0,0,0,0,10
10080,88336,52353,346,11544,16943,11544,16943,1102,27725,23866,23656,182,28,0,3859,2535,125,35.35,12547,793.79,6394,2923.45,0,0,396,1879,1883,0,0,0,0,11
10080,88494,52287,323,11604,16774,11603,16774,1046,28006,23909,23530,220,159,0,4097,2686,116,24.78,12435,789.38,6783,3102.11,0,0,388,1881,1888,0,0,0,0,12
10080,88687,52650,363,11925,16406,11923,16405,985,28468,24319,23994,161,164,0,4149,2572,123,27.79,12133,769.47,6721,3107.33,0,0,355,1938,1940,0,0,0,0,13
10080,88350,52481,340,11849,16887,11848,16886,1007,27341,23745,23509,111,125,0,3596,2530,112,29.81,12428,787.85,6126,2730.38,0,0,396,1906,1912,0,0,0,0,14
10080,88013,52583,334,11972,16647,11971,16646,1024,27242,23964,23707,112,145,0,3278,2509,86,22.14,12423,787.46,5787,2540.42,0,0,369,1907,1905,0,0,0,0,15
10080,87525,52161,333,11587,16477,11586,16477,1053,27789,24097,23850,173,74,0,3692,2555,79,16.69,12111,764.5,6247,2831.69,0,0,391,1927,1945,0,0,0,0,16
10080,87209,51707,365,11543,17237,11541,17235,1016,26246,22927,22760,115,52,0,3319,2387,71,18.38,12699,806.74,5706,2581.53,0,0,404,1900,1900,0,0,0,0,17
10080,88787,52153,353,11697,17351,11697,17350,975,27082,23105,22846,173,86,0,3977,2634,146,42.26,12802,808.93,6611,3025.83,0,0,381,1923,1937,0,0,0,0,18
10080,88497,52251,384,11953,17134,11953,17134,1011,26688,23164,22833,145,186,0,3524,2624,121,28.65,12629,800.8,6148,2723.99,0,0,386,1935,1934,0,0,0,0,19
