Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
0.07843279838562012,3240.0810663700104,7323.0,2757.987437836579,3240.159499168396,0,740
0.0888526439666748,3607.0519075393677,7274.5,2805.5325049646644,3607.1407601833344,0,786
0.08278512954711914,3829.85799908638,7266.0,2814.4921207880357,3829.940784215927,0,754
0.08885931968688965,4020.102157354355,7239.5,2841.3389431733503,4020.1910166740417,0,790
0.08394455909729004,4013.5729529857635,7287.0,2793.4833535730213,4013.656897544861,0,759
0.08484888076782227,4220.908355474472,7279.0,2801.6633837606464,4220.99320435524,0,770
0.08651471138000488,4290.889476060867,7288.0,2792.8318647276315,4290.975990772247,0,751
0.08807921409606934,4267.019700050354,7320.0,2760.097371638717,4267.10777926445,0,795
0.08432507514953613,4175.31970500946,7326.0,2754.4590145272405,4175.40403008461,0,766
0.08238530158996582,4194.966504335403,7261.5,2819.3294300422212,4195.048889636993,0,756
