120,30502,506,496,305,354,134.16,281.37,18
120,30621,499,372,287,443,104.92,268.53,1
120,30727,689,515,304,362,148.29,277.18,15
120,30289,503,432,196,265,116.55,176.55,14
120,30904,608,399,250,313,117.08,236.95,2
120,30822,602,441,240,304,113.72,212.06,12
120,30471,489,322,353,330,94.61,295.14,19
120,30582,522,437,211,345,118.1,205.83,17
120,30386,554,501,284,308,135.95,238.46,5
120,31321,607,433,222,317,128.04,204.99,16
120,30328,528,399,223,356,114.08,213.92,13
120,30048,472,408,209,272,107.62,197.35,6
120,30303,601,550,333,354,147.34,294.54,11
120,30510,670,504,207,309,142.14,199.59,9
120,30730,638,390,200,342,115.53,200.5,7
120,30526,570,502,219,291,124.08,203.32,4
120,31222,458,484,190,369,135.76,201.59,0
120,30429,495,513,156,352,137.54,178.32,3
120,31196,572,490,344,361,129.24,304.11,8
120,30104,476,399,187,274,113.45,169.13,10
120,30516,444,358,273,335,102.69,247.22,19
120,30571,437,461,260,340,125.7,248.89,18
120,30921,591,423,318,284,127.58,281.09,2
120,30794,622,548,320,377,153.16,282.11,15
120,30411,769,549,269,313,154.98,239.66,9
120,30597,523,436,244,379,119.76,230.53,1
120,30498,462,329,286,310,96.23,252.78,19
120,31194,486,462,222,353,124.76,217.05,0
120,30754,614,424,256,383,120.55,258.62,7
120,30473,467,448,235,290,125.14,213.85,5
120,30089,431,371,225,316,98.08,218.02,6
120,30290,502,439,208,277,126.32,188.57,14
120,30409,495,475,253,400,134.52,252.81,11
120,30565,539,431,234,316,115.89,213.4,17
120,30486,610,519,215,262,134.43,210.93,4
120,30463,461,454,190,307,124.47,185.68,3
120,31323,605,426,201,304,124.37,191.61,16
120,31190,578,494,277,326,130.25,258.29,8
120,30116,464,385,214,294,105.74,200.41,10
120,30771,653,505,276,448,141.09,269.3,12
120,30288,568,386,205,245,107.98,177.47,13
